Geography,Year,Category,Industry Space Use,Value
Docklands,2022,Jobs by space use,Retail,2898
East Melbourne,2022,Jobs by space use,Accommodation - Commercial,582
East Melbourne,2022,Jobs by space use,Office,11162
Kensington,2022,Jobs by space use,Education,331
Kensington,2022,Jobs by space use,Entertainment - Hospitality,211
Kensington,2022,Jobs by space use,Entertainment - Other,2814
Kensington,2022,Jobs by space use,Industrial,730
Melbourne (CBD),2022,Jobs by space use,Retail,15455
Melbourne (Remainder),2022,Jobs by space use,Accommodation - Commercial,68
Melbourne (Remainder),2022,Jobs by space use,Industrial,0
Melbourne (Remainder),2022,Jobs by space use,Retail,563
North Melbourne,2022,Jobs by space use,Industrial,831
North Melbourne,2022,Jobs by space use,Retail,957
Parkville,2022,Jobs by space use,Office,1421
Parkville,2022,Jobs by space use,Other - Employment,82
Parkville,2022,Jobs by space use,Retail,242
Port Melbourne,2022,Jobs by space use,Industrial,3702
Port Melbourne,2022,Jobs by space use,Office,8093
Port Melbourne,2022,Jobs by space use,Other - Employment,62
Port Melbourne,2022,Jobs by space use,Retail,173
South Yarra,2022,Jobs by space use,Accommodation - Commercial,12
South Yarra,2022,Jobs by space use,Entertainment - Hospitality,169
South Yarra,2022,Jobs by space use,Office,15
South Yarra,2022,Jobs by space use,Retail,19
Southbank,2022,Jobs by space use,Accommodation - Commercial,1952
Southbank,2022,Jobs by space use,Entertainment - Hospitality,3749
Southbank,2022,Jobs by space use,Industrial,0
Southbank,2022,Jobs by space use,Other - Employment,1202
West Melbourne (Industrial),2022,Jobs by space use,Entertainment - Other,27
West Melbourne (Industrial),2022,Jobs by space use,Industrial,2676
West Melbourne (Residential),2022,Jobs by space use,Health,19
West Melbourne (Residential),2022,Jobs by space use,Industrial,140
Carlton,2022,Jobs by space use,Total jobs,15484
Docklands,2022,Jobs by industry,Total jobs,73929
Docklands,2022,Jobs by space use,Total jobs,73929
East Melbourne,2022,Jobs by space use,Total jobs,20840
Kensington,2022,Jobs by industry,Total jobs,7996
Kensington,2022,Jobs by space use,Total jobs,7996
North Melbourne,2022,Jobs by space use,Total jobs,10155
Parkville,2022,Jobs by space use,Total jobs,30526
Port Melbourne,2022,Jobs by space use,Total jobs,13183
Southbank,2022,Jobs by industry,Total jobs,45230
West Melbourne (Industrial),2022,Jobs by space use,Total jobs,3805
City of Melbourne,2022,Jobs by industry,Accommodation,10107
City of Melbourne,2022,Jobs by industry,Admin and support services,16323
City of Melbourne,2022,Jobs by industry,Arts and recreation services,25936
City of Melbourne,2022,Jobs by industry,Education and training,25673
City of Melbourne,2022,Jobs by industry,"Electricity, gas, water and waste services",12031
City of Melbourne,2022,Jobs by industry,Finance and insurance,64832
