Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Number of patrons,Longitude,Latitude,Location
2020,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,Lumia Bar,"Shop 73, Ground 8 Whiteman Street SOUTHBANK VIC 3006",140,144.95833,-37.82316,"-37.82316, 144.95833"
2020,804,110988,110988,29-65 South Wharf Promenade SOUTH WHARF VIC 3006,Southbank,Plus 5,37 South Wharf Promenade SOUTH WHARF VIC 3006,90,144.95061,-37.82411,"-37.82411, 144.95061"
2020,807,108054,108054,1-25 Whiteman Street SOUTHBANK VIC 3006,Southbank,Mesh/Tonic Bar,Part Ground 1-25 Whiteman Street SOUTHBANK VIC 3006,300,144.96002,-37.82398,"-37.82398, 144.96002"
2020,1110,620312,593737,NW Building 23-37 Star Crescent DOCKLANDS VIC 3008,Docklands,Urban Alley Brewery,Shop G09 12 Star Circus DOCKLANDS VIC 3008,700,144.938,-37.81329,"-37.81329, 144.938"
2020,2530,616160,616160,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Kensington,The Quiet Man Irishman  Pub,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,400,144.93237,-37.78861,"-37.78861, 144.93237"
2020,6,578324,573333,"Tenancy 29, Transport Federation Square 2 Swanston Street MELBOURNE VIC 3000",Melbourne (CBD),Transit Rooftop Bar,"Tenancy 29, Level 2 2 Swanston Street MELBOURNE VIC 3000",200,144.96994,-37.81778,"-37.81778, 144.96994"
2020,11,103984,103984,566-580 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),UBar,8 Spencer Street MELBOURNE VIC 3000,128,144.95534,-37.82071,"-37.82071, 144.95534"
2020,12,105399,105399,26-32 King Street MELBOURNE VIC 3000,Melbourne (CBD),Clique Bar,Level 1 26 King Street MELBOURNE VIC 3000,222,144.95747,-37.81953,"-37.81953, 144.95747"
2020,12,105401,105401,14-20 King Street MELBOURNE VIC 3000,Melbourne (CBD),Spearmint Rhino Gentlemen's Club,Gnd & Flr1 20 King Street MELBOURNE VIC 3000,660,144.95771,-37.81978,"-37.81978, 144.95771"
2020,17,103592,103592,11-37 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),The Fair Trader Cafe,Part Ground 11 Exhibition Street MELBOURNE VIC 3000,118,144.97173,-37.81546,"-37.81546, 144.97173"
2020,17,103928,103928,133-135 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Meatball & Wine Bar,Ground 135 Flinders Lane MELBOURNE VIC 3000,110,144.97016,-37.81574,"-37.81574, 144.97016"
2020,22,105394,105394,62-66 King Street MELBOURNE VIC 3000,Melbourne (CBD),KSR Art Bar,Level 1 62-66 King Street MELBOURNE VIC 3000,240,144.95715,-37.81874,"-37.81874, 144.95715"
2020,23,102098,102098,415-417 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Sherlock Holmes Inn,Gnd & Bmt 417 Collins Street MELBOURNE VIC 3000,131,144.96087,-37.81747,"-37.81747, 144.96087"
2020,24,103174,103174,55-57 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Fiftyfive,Basement 55 Elizabeth Street MELBOURNE VIC 3000,88,144.96413,-37.81697,"-37.81697, 144.96413"
2020,26,102073,102073,141-165 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Dessous,Basement 164 Flinders Lane MELBOURNE VIC 3000,161,144.96876,-37.81545,"-37.81545, 144.96876"
2020,27,597183,102071,Grand Hyatt Melbourne Retail 121-131 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Spice Market,Part LwrGround 121-131 Collins Street MELBOURNE VIC 3000,800,144.96981,-37.81512,"-37.81512, 144.96981"
2020,33,100730,100730,The Melbourne Savage Club 12-16 Bank Place MELBOURNE VIC 3000,Melbourne (CBD),Melbourne Savage Club,The Melbourne Savage Club 12-16 Bank Place MELBOURNE VIC 3000,90,144.96058,-37.81655,"-37.81655, 144.96058"
2020,33,105936,105936,433 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Dikstein's Corner Bar,433 Little Collins Street MELBOURNE VIC 3000,145,144.96034,-37.81631,"-37.81631, 144.96034"
2020,33,108064,108064,85-91 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),The Black Rabbit,Basement 85 Queen Street MELBOURNE VIC 3000,230,144.96102,-37.8165,"-37.8165, 144.96102"
2020,35,105919,105919,267 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Polepole Bar & Kitchen/Glamp,Part Ground & Level 1 267 Little Collins Street MELBOURNE VIC 3000,100,144.9656,-37.81483,"-37.81483, 144.9656"
2020,35,109271,109271,Century Building 125-133 Swanston Street MELBOURNE VIC 3000,Melbourne (CBD),Max Watt's,Gnd & Bmt 125 Swanston Street MELBOURNE VIC 3000,800,144.9658,-37.81472,"-37.81472, 144.9658"
2020,35,558610,558610,256 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Butterfly Club,Level 1-3 256 Collins Street MELBOURNE VIC 3000,190,144.96529,-37.81552,"-37.81552, 144.96529"
2020,36,102152,102152,162-168 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The George on Collins,"Shop B1, Basement 162 Collins Street MELBOURNE VIC 3000",620,144.96785,-37.8145,"-37.8145, 144.96785"
2020,42,105392,105392,120-138 King Street MELBOURNE VIC 3000,Melbourne (CBD),El Coco,Part Ground 120 King Street MELBOURNE VIC 3000,500,144.95641,-37.81703,"-37.81703, 144.95641"
2020,43,108068,108068,111-129 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),Da Ha,Level 15 123 Queen Street MELBOURNE VIC 3000,200,144.96064,-37.81581,"-37.81581, 144.96064"
2020,46,101130,101130,193-199 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),The Carlton Hotel,Levels 1-4  and Rooftop 193-199 Bourke Street MELBOURNE VIC 3000,366,144.96765,-37.8132,"-37.8132, 144.96765"
2020,46,105963,105963,Council House 196-212 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),The Luwow,212 Little Collins Street MELBOURNE VIC 3000,50,144.96715,-37.8139,"-37.8139, 144.96715"
2020,46,105964,105964,188-194 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Gin Palace,10 Russell Place MELBOURNE VIC 3000,150,144.96758,-37.81391,"-37.81391, 144.96758"
2020,46,108536,108536,115-127 Russell Street MELBOURNE VIC 3000,Melbourne (CBD),The Crafty Squire,115-127 Russell Street MELBOURNE VIC 3000,414,144.96815,-37.81368,"-37.81368, 144.96815"
2020,48,101109,101109,39-43 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Spleen Central,41 Bourke Street MELBOURNE VIC 3000,100,144.97205,-37.81194,"-37.81194, 144.97205"
2020,48,105968,105968,62-66 Little Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Magic Mountain Saloon,62-66 Little Collins Street MELBOURNE VIC 3000,285,144.97144,-37.81281,"-37.81281, 144.97144"
2020,55,101193,101193,General Post Office 338-352 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Alto Event Space,Office T03 338-352 Bourke Street MELBOURNE VIC 3000,400,144.96329,-37.8136,"-37.8136, 144.96329"
