Geography,Year,Gender,Age,Value
South Yarra,2023,Female,Age 65-69,116
South Yarra,2023,Female,Age 75-79,49
South Yarra,2023,Female,Age 80-84,14
South Yarra,2023,Female,Age 85+,19
Southbank,2023,Male,Age 0-4,310
Southbank,2023,Male,Age 10-14,36
Southbank,2023,Female,Age 25-29,2599
Southbank,2023,Female,Age 45-49,413
Southbank,2023,Male,Age 50-54,411
Southbank,2023,Female,Age 60-64,333
Southbank,2023,Male,Age 75-79,102
Southbank,2023,Male,Age 80-84,54
West Melbourne (Industrial),2023,Female,Age 5-9,0
West Melbourne (Industrial),2023,Male,Age 5-9,0
West Melbourne (Industrial),2023,Female,Age 10-14,0
West Melbourne (Industrial),2023,Female,Age 15-19,0
West Melbourne (Industrial),2023,Female,Age 25-29,0
West Melbourne (Industrial),2023,Female,Age 35-39,0
West Melbourne (Industrial),2023,Male,Age 45-49,0
West Melbourne (Industrial),2023,Male,Age 50-54,0
West Melbourne (Industrial),2023,Male,Age 55-59,0
West Melbourne (Industrial),2023,Male,Age 65-69,0
West Melbourne (Industrial),2023,Female,Age 70-74,0
West Melbourne (Industrial),2023,Female,Age 75-79,0
West Melbourne (Industrial),2023,Female,Age 80-84,0
West Melbourne (Industrial),2023,Male,Age 85+,0
West Melbourne (Residential),2023,Female,Age 0-4,116
West Melbourne (Residential),2023,Male,Age 0-4,156
West Melbourne (Residential),2023,Female,Age 5-9,99
West Melbourne (Residential),2023,Male,Age 10-14,67
West Melbourne (Residential),2023,Female,Age 15-19,84
West Melbourne (Residential),2023,Male,Age 25-29,1043
West Melbourne (Residential),2023,Female,Age 45-49,166
West Melbourne (Residential),2023,Female,Age 50-54,93
West Melbourne (Residential),2023,Female,Age 60-64,81
West Melbourne (Residential),2023,Male,Age 65-69,27
West Melbourne (Residential),2023,Female,Age 80-84,3
West Melbourne (Residential),2023,Female,Age 85+,4
West Melbourne (Residential),2023,Male,Age 85+,2
City of Melbourne,2023,Total,Age 0-4,5163
City of Melbourne,2023,Total,Age 15-19,6543
City of Melbourne,2023,Total,Age 25-29,32244
City of Melbourne,2023,Total,Age 35-39,15107
City of Melbourne,2023,Total,Age 55-59,4919
City of Melbourne,2023,Total,Age 60-64,4339
City of Melbourne,2023,Total,Age 75-79,1573
City of Melbourne,2023,Total,Age 80-84,706
Carlton,2023,Total,Age 0-4,454
Carlton,2023,Total,Age 5-9,352
Carlton,2023,Total,Age 15-19,1248
Carlton,2023,Total,Age 45-49,546
Carlton,2023,Total,Age 60-64,369
Carlton,2023,Total,Age 75-79,175
Carlton,2023,Total,Age 80-84,78
Docklands,2023,Total,Age 5-9,324
Docklands,2023,Total,Age 10-14,117
Docklands,2023,Total,Age 20-24,1983
Docklands,2023,Total,Age 25-29,3159
Docklands,2023,Total,Age 60-64,617
Docklands,2023,Total,Age 65-69,588
East Melbourne,2023,Total,Age 15-19,38
East Melbourne,2023,Total,Age 45-49,285
