Geography,Year,Gender,Age,Value
Melbourne (Remainder),2023,Female,Age 30-34,238
Melbourne (Remainder),2023,Male,Age 30-34,223
Melbourne (Remainder),2023,Female,Age 35-39,159
Melbourne (Remainder),2023,Male,Age 35-39,205
Melbourne (Remainder),2023,Female,Age 40-44,150
Melbourne (Remainder),2023,Female,Age 45-49,52
Melbourne (Remainder),2023,Male,Age 45-49,59
Melbourne (Remainder),2023,Male,Age 50-54,72
Melbourne (Remainder),2023,Male,Age 55-59,76
Melbourne (Remainder),2023,Female,Age 65-69,115
Melbourne (Remainder),2023,Male,Age 65-69,149
Melbourne (Remainder),2023,Female,Age 70-74,117
Melbourne (Remainder),2023,Male,Age 70-74,122
Melbourne (Remainder),2023,Male,Age 75-79,55
North Melbourne,2023,Female,Age 5-9,227
North Melbourne,2023,Female,Age 10-14,264
North Melbourne,2023,Female,Age 25-29,1508
North Melbourne,2023,Female,Age 40-44,627
North Melbourne,2023,Male,Age 50-54,292
North Melbourne,2023,Male,Age 55-59,253
North Melbourne,2023,Female,Age 75-79,84
North Melbourne,2023,Male,Age 85+,15
Parkville,2023,Female,Age 0-4,152
Parkville,2023,Male,Age 0-4,175
Parkville,2023,Female,Age 5-9,72
Parkville,2023,Male,Age 5-9,86
Parkville,2023,Male,Age 10-14,92
Parkville,2023,Male,Age 30-34,449
Parkville,2023,Male,Age 40-44,127
Parkville,2023,Female,Age 45-49,99
Parkville,2023,Female,Age 50-54,137
Parkville,2023,Female,Age 65-69,61
Parkville,2023,Female,Age 70-74,121
Parkville,2023,Female,Age 75-79,79
Parkville,2023,Female,Age 80-84,48
Parkville,2023,Male,Age 80-84,33
Parkville,2023,Female,Age 85+,56
Port Melbourne,2023,Female,Age 5-9,0
Port Melbourne,2023,Female,Age 10-14,0
Port Melbourne,2023,Male,Age 30-34,0
Port Melbourne,2023,Male,Age 40-44,0
Port Melbourne,2023,Male,Age 50-54,0
Port Melbourne,2023,Female,Age 55-59,0
Port Melbourne,2023,Male,Age 75-79,0
Port Melbourne,2023,Female,Age 80-84,0
Port Melbourne,2023,Female,Age 85+,0
South Yarra,2023,Female,Age 25-29,289
South Yarra,2023,Female,Age 40-44,77
South Yarra,2023,Female,Age 55-59,99
South Yarra,2023,Female,Age 60-64,111
South Yarra,2023,Male,Age 60-64,130
South Yarra,2023,Female,Age 70-74,166
South Yarra,2023,Male,Age 75-79,72
South Yarra,2023,Male,Age 80-84,13
Southbank,2023,Female,Age 0-4,323
Southbank,2023,Female,Age 5-9,129
Southbank,2023,Male,Age 5-9,112
Southbank,2023,Female,Age 10-14,91
Southbank,2023,Female,Age 15-19,319
Southbank,2023,Male,Age 15-19,288
Southbank,2023,Male,Age 20-24,1794
Southbank,2023,Male,Age 25-29,2544
Southbank,2023,Female,Age 35-39,1169
Southbank,2023,Female,Age 40-44,582
Southbank,2023,Male,Age 40-44,778
Southbank,2023,Female,Age 50-54,384
Southbank,2023,Male,Age 55-59,425
Southbank,2023,Female,Age 65-69,265
Southbank,2023,Male,Age 70-74,232
Southbank,2023,Male,Age 85+,27
West Melbourne (Industrial),2023,Male,Age 10-14,0
West Melbourne (Industrial),2023,Male,Age 15-19,0
West Melbourne (Industrial),2023,Female,Age 20-24,0
West Melbourne (Industrial),2023,Male,Age 20-24,0
West Melbourne (Industrial),2023,Male,Age 30-34,0
West Melbourne (Industrial),2023,Female,Age 40-44,0
West Melbourne (Industrial),2023,Male,Age 40-44,0
West Melbourne (Industrial),2023,Female,Age 45-49,0
West Melbourne (Industrial),2023,Female,Age 85+,0
West Melbourne (Residential),2023,Male,Age 5-9,55
West Melbourne (Residential),2023,Female,Age 10-14,65
West Melbourne (Residential),2023,Male,Age 15-19,71
West Melbourne (Residential),2023,Female,Age 20-24,593
West Melbourne (Residential),2023,Female,Age 30-34,764
West Melbourne (Residential),2023,Female,Age 55-59,108
City of Melbourne,2023,Total,Age 30-34,24420
City of Melbourne,2023,Total,Age 50-54,5181
City of Melbourne,2023,Total,Age 65-69,3849
City of Melbourne,2023,Total,Age 70-74,3448
Carlton,2023,Total,Age 20-24,5136
Carlton,2023,Total,Age 50-54,501
Docklands,2023,Total,Age 15-19,356
Docklands,2023,Total,Age 35-39,1800
Docklands,2023,Total,Age 40-44,1036
Docklands,2023,Total,Age 50-54,859
Docklands,2023,Total,Age 75-79,91
Docklands,2023,Total,Age 80-84,13
East Melbourne,2023,Total,Age 0-4,126
East Melbourne,2023,Total,Age 10-14,30
East Melbourne,2023,Total,Age 25-29,829
East Melbourne,2023,Total,Age 55-59,281
East Melbourne,2023,Total,Age 60-64,324
East Melbourne,2023,Total,Age 70-74,335
Kensington,2023,Total,Age 10-14,385
Kensington,2023,Total,Age 15-19,183
Kensington,2023,Total,Age 30-34,1745
Kensington,2023,Total,Age 45-49,717
Kensington,2023,Total,Age 65-69,310
Kensington,2023,Total,Age 75-79,140
Kensington,2023,Total,Age 80-84,92
Melbourne (CBD),2023,Total,Age 5-9,338
Melbourne (CBD),2023,Total,Age 10-14,199
Melbourne (CBD),2023,Total,Age 20-24,12501
Melbourne (CBD),2023,Total,Age 30-34,6964
Melbourne (CBD),2023,Total,Age 40-44,1823
Melbourne (CBD),2023,Total,Age 50-54,952
Melbourne (CBD),2023,Total,Age 70-74,490
Melbourne (Remainder),2023,Total,Age 5-9,38
Melbourne (Remainder),2023,Total,Age 20-24,195
Melbourne (Remainder),2023,Total,Age 50-54,136
Melbourne (Remainder),2023,Total,Age 60-64,213
Melbourne (Remainder),2023,Total,Age 70-74,239
Melbourne (Remainder),2023,Total,Age 80-84,59
Melbourne (Remainder),2023,Total,Age 85+,47
North Melbourne,2023,Total,Age 5-9,473
North Melbourne,2023,Total,Age 30-34,2137
Parkville,2023,Total,Age 5-9,158
Parkville,2023,Total,Age 10-14,176
Parkville,2023,Total,Age 35-39,625
Parkville,2023,Total,Age 50-54,255
Parkville,2023,Total,Age 55-59,204
Parkville,2023,Total,Age 65-69,175
Parkville,2023,Total,Age 70-74,216
Port Melbourne,2023,Total,Age 5-9,0
Port Melbourne,2023,Total,Age 10-14,0
Port Melbourne,2023,Total,Age 45-49,0
Port Melbourne,2023,Total,Age 50-54,0
Port Melbourne,2023,Total,Age 55-59,0
Port Melbourne,2023,Total,Age 70-74,0
Port Melbourne,2023,Total,Age 75-79,0
Port Melbourne,2023,Total,Age 80-84,0
Port Melbourne,2023,Total,Age 85+,0
South Yarra,2023,Total,Age 30-34,603
South Yarra,2023,Total,Age 35-39,388
South Yarra,2023,Total,Age 45-49,228
South Yarra,2023,Total,Age 50-54,140
South Yarra,2023,Total,Age 55-59,190
South Yarra,2023,Total,Age 70-74,291
South Yarra,2023,Total,Age 80-84,27
Southbank,2023,Total,Age 35-39,2611
Southbank,2023,Total,Age 40-44,1360
Southbank,2023,Total,Age 45-49,924
Southbank,2023,Total,Age 55-59,813
Southbank,2023,Total,Age 60-64,607
Southbank,2023,Total,Age 70-74,461
Southbank,2023,Total,Age 75-79,198
West Melbourne (Industrial),2023,Total,Age 5-9,0
West Melbourne (Industrial),2023,Total,Age 20-24,0
West Melbourne (Industrial),2023,Total,Age 25-29,0
West Melbourne (Industrial),2023,Total,Age 50-54,0
West Melbourne (Industrial),2023,Total,Age 60-64,0
West Melbourne (Industrial),2023,Total,Age 65-69,0
West Melbourne (Industrial),2023,Total,Age 85+,0
West Melbourne (Residential),2023,Total,Age 0-4,272
West Melbourne (Residential),2023,Total,Age 15-19,155
West Melbourne (Residential),2023,Total,Age 20-24,1198
West Melbourne (Residential),2023,Total,Age 45-49,338
West Melbourne (Residential),2023,Total,Age 50-54,243
West Melbourne (Residential),2023,Total,Age 55-59,187
West Melbourne (Residential),2023,Total,Age 80-84,3
West Melbourne (Residential),2023,Total,Age 85+,6
City of Melbourne,2023,Male,Average age,33
Carlton,2023,Male,Average age,30
Carlton,2023,Total,Average age,30
Docklands,2023,Female,Average age,34
Docklands,2023,Total,Average age,35
Kensington,2023,Male,Average age,34
Kensington,2023,Total,Average age,35
Melbourne (Remainder),2023,Male,Average age,44
Melbourne (Remainder),2023,Total,Average age,45
North Melbourne,2023,Female,Average age,33
North Melbourne,2023,Total,Average age,33
Parkville,2023,Male,Average age,32
Port Melbourne,2023,Male,Average age,38
Southbank,2023,Male,Average age,34
City of Melbourne,2023,Not applicable,Total population,158123
Docklands,2023,Not applicable,Total population,16437
Kensington,2023,Not applicable,Total population,11167
North Melbourne,2023,Not applicable,Total population,16035
Parkville,2023,Not applicable,Total population,7948
Southbank,2023,Not applicable,Total population,23284
West Melbourne (Industrial),2023,Not applicable,Total population,0
West Melbourne (Residential),2023,Not applicable,Total population,8102
